Cities,ID,Year,,pop<1$,pop_nowateraccess,cons_health,pop_wateraccess,pop_toiletacess,for_dentr.,connect_soneb,connec_pomp,#casesantep,#medprive,#clinpriv,#dispens,#hospital,#nursing room,#smi,ind_pauv_mon,ind_pauv_nonm,gini,educ_adult,pubhosp,consump/c,
Nikki,27.00,2011.00,,74.20,,3.20,70.40,36.80,86.50,3.00,66.00,0.00,0.00,0.00,4.00,8.00,0.00,1.00,43.90,47.70,"0,353","34,6",12.00,152485.00,
Parakou,28.00,2011.00,,47.20,,2.80,87.40,45.10,92.30,61.00,8.00,19.00,24.00,43.00,14.00,26.00,154.00,0.00,22.50,11.00,"0,394","83,6",59.00,249182.00,
Perere,29.00,2011.00,,66.70,,3.50,62.10,32.80,94.70,25.00,36.00,0.00,0.00,1.00,1.00,5.00,0.00,0.00,28.10,21.70,"0,376","35,7",6.00,20256.00,
Sinende,30.00,2011.00,,61.90,,2.60,61.80,32.20,95.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.90,31.30,"0,410","47,2",0.00,180163.00,
Tchaourou,31.00,2011.00,,84.90,,2.20,69.10,35.65,97.10,7.00,43.00,3.00,1.00,2.00,4.00,6.00,2.00,0.00,34.10,23.70,"0,384","64,3",13.00,124135.00,
Bante,32.00,2011.00,,51.60,,5.90,94.60,50.25,85.00,1.00,46.00,0.00,6.00,3.00,0.00,33.00,0.00,3.00,44.90,16.00,"0,356","72,3",33.00,205748.00,
Dassa-Zoume,33.00,2011.00,,68.70,,7.70,98.50,53.10,77.20,2.00,66.00,15.00,0.00,11.00,1.00,12.00,4.00,6.00,45.00,26.80,"0,354","72,4",28.00,169792.00,
Glazoue,34.00,2011.00,,76.20,,3.70,96.50,50.10,71.10,1.00,90.00,1.00,0.00,11.00,3.00,10.00,0.00,3.00,54.80,20.50,"0,352","69,4",14.00,148570.00,
Ouesse,35.00,2011.00,,77.00,,2.00,59.90,30.95,85.20,5.00,66.00,14.00,0.00,0.00,5.00,2.00,0.00,7.00,50.50,21.80,"0,318","52,9",21.00,152175.00,
Savalou,36.00,2011.00,,46.00,,5.40,59.20,32.30,83.60,3.00,59.00,2.00,3.00,2.00,0.00,45.00,4.00,0.00,45.60,29.90,"0,402","53,5",47.00,225329.00,
Save,37.00,2011.00,,61.00,,1.80,98.20,50.00,93.40,0.00,41.00,6.00,0.00,1.00,3.00,1.00,2.00,5.00,30.20,17.40,"0,358","87,5",10.00,195387.00,
Aplahoue,38.00,2011.00,,70.90,,3.80,66.70,35.25,84.30,5.00,45.00,6.00,0.00,0.00,0.00,29.00,0.00,2.00,49.80,34.60,"0,345","70,1",35.00,167155.00,
Djakotomey,39.00,2011.00,,67.50,,6.70,83.00,44.85,80.00,5.00,42.00,7.00,0.00,11.00,8.00,8.00,6.00,10.00,55.20,32.40,"0,410","73,8",23.00,164697.00,
Dogbo,40.00,2011.00,,71.90,,2.90,90.00,46.45,84.10,0.00,46.00,4.00,0.00,5.00,7.00,1.00,0.00,0.00,49.80,68.40,"0,389","76,9",12.00,156647.00,
Klouékanme,41.00,2011.00,,66.30,,2.00,46.30,24.15,80.70,7.00,11.00,8.00,0.00,3.00,10.00,1.00,2.00,0.00,38.40,30.30,"0,272","60,4",19.00,172129.00,
Lalo,42.00,2011.00,,68.40,,3.60,99.80,51.70,94.40,5.00,55.00,0.00,0.00,0.00,0.00,60.00,0.00,5.00,39.60,32.90,"0,293","70,8",60.00,17831.00,
Toviklin,43.00,2011.00,,57.40,,2.40,56.50,29.45,87.80,10.00,14.00,2.00,0.00,0.00,6.00,1.00,0.00,0.00,44.20,26.10,"0,315","76,7",9.00,193704.00,
Bassila,44.00,2011.00,,74.20,,3.00,49.40,26.20,87.10,2.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.10,14.50,"0,390","75,2",0.00,148615.00,
Copargo,45.00,2011.00,,81.40,,4.70,36.00,20.35,89.00,0.00,50.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,45.50,54.40,"0,273","40,2",2.00,131455.00,
Djougou,46.00,2011.00,,79.00,,8.50,51.60,30.05,86.20,9.00,25.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00,39.80,20.40,"0,388","50,6",12.00,152127.00,
Ouake,47.00,2011.00,,72.00,,2.20,35.20,18.70,75.40,3.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.20,14.10,"0,300","82,9",0.00,15439.00,
Cotonou,48.00,2011.00,,7.10,,3.70,92.70,48.20,81.20,72.00,0.00,0.00,26.00,68.00,1.00,21.00,17.00,2.00,25.90,20.10,"0,385","83,7",22.00,587671.00,
Athieme,49.00,2011.00,,73.30,,3.20,42.80,23.00,92.20,1.00,54.00,0.00,0.00,0.00,3.00,4.00,0.00,1.00,50.40,51.70,"0,292","89,2",7.00,166719.00,
Bopa,50.00,2011.00,,66.60,,4.50,76.80,40.65,79.10,4.00,42.00,5.00,0.00,10.00,5.00,10.00,0.00,5.00,43.50,74.30,"0,312","67,2",20.00,170658.00,
Come,51.00,2011.00,,59.60,,4.40,91.60,48.00,78.70,4.00,22.00,0.00,0.00,0.00,0.00,7.00,2.00,0.00,45.20,32.70,"0,453","90,1",7.00,205502.00,
Grand-Popo,52.00,2011.00,,57.10,,4.40,66.60,35.50,81.60,2.00,8.00,0.00,0.00,0.00,2.00,7.00,0.00,0.00,47.70,30.10,"0,399","69,9",9.00,19884.00,
Houeyogbe,53.00,2011.00,,39.00,,7.90,54.30,31.10,79.50,10.00,25.00,10.00,0.00,1.00,0.00,27.00,0.00,5.00,41.20,24.00,"0,329","84,6",37.00,237867.00,
Lokossa,54.00,2011.00,,41.90,,3.70,89.50,46.60,88.50,28.00,47.00,4.00,1.00,8.00,2.00,5.00,5.00,1.00,38.10,32.90,"0,409","78,3",11.00,251835.00,
Adjarra,55.00,2011.00,,42.50,,5.20,41.60,23.40,78.50,8.00,25.00,6.00,1.00,16.00,2.00,9.00,3.00,2.00,34.80,15.90,"0,369","62,8",17.00,262342.00,
Adjohoun,56.00,2011.00,,51.90,,4.60,61.00,32.80,79.20,1.00,52.00,0.00,1.00,0.00,1.00,7.00,0.00,0.00,20.20,35.90,"0,296","66,0",8.00,211829.00,
Aguegues,57.00,2011.00,,82.80,,0.60,99.10,49.85,97.60,1.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.20,55.10,"0,245","49,2",0.00,129485.00,
Akpro-Misserete,58.00,2011.00,,38.30,,6.00,75.90,40.95,84.70,5.00,57.00,1.00,0.00,2.00,1.00,4.00,0.00,2.00,34.30,24.00,"0,304","58,5",6.00,237614.00,
Avrankou,59.00,2011.00,,50.40,,4.40,67.70,36.05,82.40,7.00,51.00,2.00,1.00,12.00,3.00,3.00,4.00,4.00,24.20,17.70,"0,410","56,0",8.00,213321.00,
Bonou,60.00,2011.00,,46.80,,3.70,76.80,40.25,86.60,1.00,89.00,1.00,6.00,0.00,2.00,4.00,4.00,0.00,39.90,21.70,"0,281","80,5",7.00,212137.00,
Dangbo,61.00,2011.00,,56.20,,6.80,65.70,36.25,92.50,2.00,61.00,0.00,0.00,0.00,1.00,7.00,0.00,0.00,32.50,50.50,"0,300","65,2",8.00,214643.00,
Porto-Novo,62.00,2011.00,,5.50,,3.00,62.40,32.70,89.30,33.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,7.20,"0,359","81,0",0.00,501619.00,
Seme-Kpodji,63.00,2011.00,,13.70,,2.80,79.30,41.05,53.60,32.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.30,11.30,"0,392","80,3",0.00,424533.00,
Adja-Ouere,64.00,2011.00,,65.70,,5.20,97.70,51.45,91.30,6.00,26.00,3.00,0.00,4.00,4.00,10.00,1.00,3.00,31.60,33.10,"0,373","59,6",17.00,17182.00,
Ifangni,65.00,2011.00,,49.50,,2.40,81.70,42.05,98.50,6.00,62.00,1.00,1.00,2.00,2.00,1.00,0.00,1.00,33.40,14.50,"0,313","65,2",4.00,200746.00,
Ketou,66.00,2011.00,,46.40,,4.10,72.80,38.45,92.20,6.00,37.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,33.00,24.20,"0,407","52,3",3.00,221914.00,
Pobe,67.00,2011.00,,53.40,,5.20,74.70,39.95,93.20,5.00,32.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,44.70,42.30,"0,382","54,4",1.00,212102.00,
Sakete,68.00,2011.00,,69.50,,2.60,89.20,45.90,89.40,9.00,32.00,1.00,1.00,1.00,0.00,7.00,1.00,1.00,35.70,23.40,"0,333","68,9",8.00,158593.00,
Abomey,69.00,2011.00,,56.70,,6.00,71.80,38.90,88.40,37.00,21.00,1.00,3.00,13.00,1.00,10.00,2.00,0.00,29.50,21.00,"0,355","76,6",12.00,20664.00,
Agbangnizoun,70.00,2011.00,,71.20,,3.10,54.90,29.00,91.50,3.00,23.00,0.00,0.00,2.00,6.00,1.00,1.00,9.00,43.00,17.30,"0,376","63,1",7.00,159870.00,
Bohicon,71.00,2011.00,,53.00,,5.20,74.40,39.80,85.30,40.00,21.00,2.00,2.00,2.00,1.00,0.00,7.00,5.00,40.10,12.20,"0,324","76,6",3.00,203902.00,
Cove,72.00,2011.00,,57.80,,3.00,89.50,46.25,94.70,48.00,10.00,0.00,0.00,2.00,0.00,3.00,0.00,0.00,54.80,15.00,"0,327","49,5",3.00,200797.00,
Djidja,73.00,2011.00,,73.00,,4.50,71.30,37.90,93.80,2.00,50.00,2.00,0.00,5.00,0.00,11.00,14.00,1.00,38.20,36.70,"0,378","60,7",13.00,147755.00,
Ouinhi,74.00,2011.00,,77.60,,3.80,71.50,37.65,96.80,3.00,69.00,0.00,0.00,0.00,1.00,4.00,1.00,2.00,44.00,36.30,"0,346","55,3",5.00,140811.00,
Zagnanado,75.00,2011.00,,85.80,,2.90,50.90,26.90,96.80,28.00,5.00,1.00,0.00,0.00,2.00,5.00,1.00,1.00,48.50,43.70,"0,326","58,7",8.00,139640.00,
Za-Kpota,76.00,2011.00,,82.30,,6.50,31.50,19.00,85.40,1.00,11.00,1.00,0.00,1.00,9.00,2.00,23.00,12.00,46.20,43.40,"0,301","41,5",12.00,127986.00,
Zogbodomey,77.00,2011.00,,69.20,,3.20,94.80,49.00,86.50,1.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.50,32.80,"0,392","44,8",0.00,142318.00,
