Cities,ID,Year,pop<1$,cons_health,pop_wateraccess,pop_toiletacess,ind_pauv_mon,ind_pauv_nonm,gini,educ_adult,pubhosp,consump/c,for_dentr.,connect_soneb,connec_pomp,#casesantep,#medprive,#clinpriv,#dispens,#hospital,#nursing room,#smi,decentralization,population,Density ,pubexp/c,decentralization2
Kalale,25,2011,66,4,51,27,38,51,0,30,0,15325,80,4,36,0,0,0,0,0,0,0,0.2,129704,36,1138,2.00
N'dali,26,2010,54,2,68,35,39,25,0,65,0,163615,91,29,8,0,0,0,0,0,0,0,0.2,87370,23,3182,0.33
N'dali,26,2011,66,2,78,40,33,29,0,49,0,193853,92,7,55,0,0,0,0,0,0,0,0.4,87370,23,5239,1.03
Nikki,27,2010,47,2,77,40,39,37,0,44,12,163584,95,12,86,0,0,0,4,8,0,1,0.3,128694,41,1620,0.47
Nikki,27,2011,74,3,70,37,44,48,0,35,12,152485,87,3,66,0,0,0,4,8,0,1,0.6,128694,41,1106,1.59
Parakou,28,2010,21,1,88,44,23,6,0,92,59,276436,93,73,3,19,24,43,14,26,154,0,0.3,194247,440,10452,0.05
Parakou,28,2011,47,3,87,45,23,11,0,84,59,249182,92,61,8,19,24,43,14,26,154,0,0.9,194247,440,9948,1.10
Perere,29,2010,43,3,94,48,26,12,0,45,6,168364,99,0,100,0,0,1,1,5,0,0,0.1,55617,26,3837,0.62
Perere,29,2011,67,4,62,33,28,22,0,36,6,20256,95,25,36,0,0,1,1,5,0,0,0.5,55617,26,10664,0.77
Sinende,30,2010,45,3,58,31,26,32,0,32,0,18563,73,6,31,0,0,0,0,0,0,0,0.2,82177,235,2828,0.24
Sinende,30,2011,62,3,62,32,29,31,0,47,0,180163,95,1,25,0,0,0,0,0,0,0,0.2,82177,235,3226,0.73
Tchaourou,31,2010,44,4,74,39,31,44,0,40,13,177987,96,7,93,3,1,2,4,6,2,0,0.2,138554,19,2874,0.35
Tchaourou,31,2011,85,2,69,36,34,24,0,64,13,124135,97,7,43,3,1,2,4,6,2,0,0.6,138554,19,4872,0.63
Bante,32,2010,52,3,93,48,47,16,0,81,33,163457,97,11,83,0,6,3,0,33,0,3,0.2,106497,40,2096,0.23
Bante,32,2011,52,6,95,50,45,16,0,72,33,205748,85,1,46,0,6,3,0,33,0,3,0.5,106497,40,1386,0.88
