Cities,ID ,Year,Decentralization,Population,Density 
Dassa-Zoume,33,2006,0.587,106878,62
Dassa-Zoume,33,2007,0.358,110475,65
Dassa-Zoume,33,2008,0.449,114165,67
Dassa-Zoume,33,2009,0.275,117957,69
Dassa-Zoume,33,2010,0.293,121855,71
Djakotomey,39,2005,0.469,106413,327
Djakotomey,39,2006,0.437,110017,339
Djakotomey,39,2007,0.295,113720,350
Djakotomey,39,2008,0.284,117518,362
Djakotomey,39,2009,0.084,121421,374
Djakotomey,39,2010,0.062,125434,386
Djidja,73,2005,0.325,93058,43
Djidja,73,2006,0.279,96210,44
Djidja,73,2007,0.247,99448,46
Djidja,73,2008,0.199,102769,47
Djidja,73,2009,0.254,106183,49
Djidja,73,2010,0.389,109692,50
Djougou,46,2005,0.541,200094,50
Djougou,46,2006,0.522,206871,52
Djougou,46,2007,0.515,213833,54
Djougou,46,2008,0.549,220975,56
Djougou,46,2009,0.290,228315,58
Djougou,46,2010,0.267,235859,59
Dogbo,40,2005,0.437,84648,178
Dogbo,40,2006,0.337,87515,184
Dogbo,40,2007,0.296,90460,190
Dogbo,40,2008,0.329,93481,197
Dogbo,40,2009,0.225,96586,203
Dogbo,40,2010,0.272,99778,210
Glazoue,34,2005,0.375,99533,57
Glazoue,34,2006,0.306,102904,59
Glazoue,34,2007,0.387,106367,61
Glazoue,34,2008,0.335,109920,63
Glazoue,34,2009,0.231,113571,65
Glazoue,34,2010,0.323,117324,67
Gogounou,2,2005,0.159,88021,18
Gogounou,2,2006,0.260,91002,19
Gogounou,2,2007,0.264,94064,19
Gogounou,2,2008,0.237,97206,20
Gogounou,2,2009,0.159,100535,20
Gogounou,2,2010,0.256,103754,21
Grand-Popo,52,2005,0.484,44372,154
Grand-Popo,52,2006,0.508,45875,159
Grand-Popo,52,2007,0.579,47419,164
Grand-Popo,52,2008,0.361,49003,170
Grand-Popo,52,2009,0.589,50631,175
Grand-Popo,52,2010,0.369,52304,181
Houeyogbe,53,2005,0.149,81950,283
Houeyogbe,53,2006,0.094,84726,292
Houeyogbe,53,2007,0.319,87577,302
Houeyogbe,53,2008,0.113,90502,312
Houeyogbe,53,2009,0.072,93509,322
Houeyogbe,53,2010,0.091,96599,333
Ifangni,65,2005,0.684,78770,325
Ifangni,65,2006,0.654,81438,337
Ifangni,65,2007,0.649,84178,348
Ifangni,65,2008,0.443,86990,359
Ifangni,65,2009,0.442,89879,371
Ifangni,65,2010,0.503,92849,384
Kalale,25,2005,0.201,110036,31
Kalale,25,2006,0.155,113762,32
Kalale,25,2007,0.107,117591,33
Kalale,25,2008,0.264,121519,34
Kalale,25,2009,0.116,125555,35
Kalale,25,2010,0.142,129704,36
Kandi,3,2005,0.533,104734,31
Kandi,3,2006,0.484,108282,32
Kandi,3,2007,0.565,11926,33
